Заголовок;Производитель;Тип автомата;Количество линий;Количество барабанов;Мин ставка на линию;Макс ставка на линию;Джектпот;Процент отдачи;Бонусная игра;Прогрессивный джекпот;Символ Wild;Символ Scatter;Автоматическая игра;Мультиплеер;Бесплатные спины
Jurassic Park Slot;Microgaming;Видео-слоты;243;5;1;10;30;Неизвестно;no;no;yes;yes;yes;yes;yes
Zombies Slot;NetEnt;Видео-слоты;20;5;1;10;1000;97.2%;yes;no;yes;yes;yes;yes;yes
Jack Hammer;NetEnt;Видео-слоты;25;5;1;10;1000;97%;no;no;yes;yes;yes;yes;yes
Wonky Wabbits Slot;NetEnt;Видео-слоты;15;5;1;10;1500;96.5%;no;no;yes;no;yes;no;no
The Wish Master Slot;NetEnt;Видео-слоты;20;5;1;10;750;96.6%;no;no;yes;yes;yes;yes;yes
Lights Slot;NetEnt;Видео-слоты;9;5;1;10;1000;96.1%;no;no;yes;yes;yes;no;yes
The Dark Knight Rises;Microgaming;Видео-слоты;243;5;1;5;1500;96.41%;yes;no;yes;yes;yes;yes;yes
Hitman Slot;Microgaming;Видео-слоты;15;5;1;20;4000;95.81%;yes;no;yes;yes;yes;yes;yes
Go Bananas! Slot;NetEnt;Видео-слоты;20;5;1;10;700;96.9%;no;no;yes;no;yes;no;no
Creature From the Black Lagoon;NetEnt;Видео-слоты;20;5;1;10;750;96.5%;yes;no;yes;yes;yes;no;yes
Fruit Shop Slot;NetEnt;Видео-слоты;15;5;1;10;2000;96.7%;no;no;yes;no;yes;yes;yes
Mega Fortune Slot;NetEnt;Прогрессивные слоты;25;5;1;4;Прогрессивный;96.6%;yes;yes;yes;yes;yes;yes;yes
Terminator 2 Slot;Microgaming;Видео-слоты;243;5;1;10;300;Неизвестно;yes;no;yes;yes;yes;yes;yes
Magic Portals Slot;NetEnt;Видео-слоты;25;5;1;10;500;96.6%;yes;no;yes;yes;yes;no;yes
Big Bang Slot;NetEnt;Видео-слоты;25;5;1;4;1000;96%;no;no;yes;no;yes;yes;no
The Invisible Man Slot;NetEnt;Видео-слоты;20;5;1;10;500;96.4%;yes;no;yes;yes;yes;yes;yes
Victorious Slot;NetEnt;Видео-слоты;243;5;1;10;1500;96.9%;no;no;yes;yes;yes;yes;yes
Aliens Slot;NetEnt;Видео-слоты;15;5;1;10;1000;96.4%;yes;no;yes;no;yes;yes;yes
EggOMatic Slot;NetEnt;Видео-слоты;20;5;1;10;1000;96.5%;yes;no;yes;yes;yes;no;yes
Playboy Slot;Microgaming;Видео-слоты;243;5;1;5;6000;96.57%;no;no;yes;yes;yes;yes;yes
Break Away Slot;Microgaming;Видео-слоты;243;5;1;10;500;96.42%;no;no;yes;yes;yes;yes;yes
Flowers Slot;NetEnt;Видео-слоты;30;5;1;5;5000;96.3%;yes;no;yes;yes;yes;yes;yes
Space Wars Slot;NetEnt;Видео-слоты;40;5;1;10;1000;96.8%;yes;no;yes;no;yes;no;no
Уайлд Water Slot;NetEnt;Видео-слоты;20;5;1;1;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Piggy Riches Slot;NetEnt;Видео-слоты;15;5;1;10;2000;96.4%;no;no;yes;yes;yes;yes;yes
Evolution Slot;NetEnt;Видео-слоты;25;5;1;10;2500;96.3%;yes;no;yes;yes;yes;no;yes
Kings of Chicago Slot;NetEnt;Видео-слоты;5;5;1;10;10000;97.8%;no;no;yes;yes;yes;yes;yes
Attraction Slot;NetEnt;Видео-слоты;10;5;1;10;500;96.7%;no;no;yes;yes;yes;yes;yes
Thunderfist Slot;NetEnt;Видео-слоты;243;5;1;10;100;96.7%;no;no;yes;yes;yes;yes;yes
Reel Rush Slot;NetEnt;Видео-слоты;3125;5;1;10;1000;97%;yes;no;yes;no;yes;no;yes
South Park: Reel Chaos Slot;NetEnt;Видео-слоты;20;5;1;10;1000;96.8%;yes;no;yes;yes;yes;yes;yes
Dracula Slot;NetEnt;Видео-слоты;40;5;1;10;200;96.60%;no;no;yes;yes;yes;no;yes
Mythic Maiden Slot;NetEnt;Видео-слоты;30;5;1;10;2000;96.6%;no;no;yes;yes;yes;yes;yes
Egyptian Heroes Slot;NetEnt;Видео-слоты;20;5;1;10;4000;96.7%;yes;no;yes;yes;yes;yes;yes
Уайлд Rockets Slot;NetEnt;Видео-слоты;720;5;1;4;250;96.7%;no;no;yes;yes;yes;yes;yes
Mr. Cashback Slot;Playtech;Видео-слоты;15;5;1;10;7500;95.5%;yes;no;yes;yes;yes;yes;yes
Ghost Pirates Slot;NetEnt;Видео-слоты;243;5;1;5;1500;96.9%;no;no;yes;yes;yes;yes;yes
Break da Bank Again Slot;Microgaming;Видео-слоты;9;5;1;10;1500;95.43%;no;no;yes;yes;yes;yes;yes
Уайлд Turkey Slot;NetEnt;Видео-слоты;20;5;1;10;4000;96.6%;no;no;yes;no;yes;no;yes
The Finer Reels of Life Slot;Microgaming;Видео-слоты;243;5;1;5;1500;96.47%;yes;no;yes;yes;yes;yes;yes
Great Blue Slot;Playtech;Видео-слоты;25;5;1;10;10000;94.3%;yes;no;yes;yes;yes;yes;yes
Avalon Slot;Microgaming;Видео-слоты;20;5;1;10;800;96.01%;no;no;yes;yes;yes;yes;yes
HellBoy Slot;Microgaming;Видео-слоты;20;5;1;10;10000;96.5%;yes;no;yes;yes;yes;yes;yes
Leagues of Fortune Slot;Microgaming;Видео-слоты;1024;5;1;10;350;96.5%;no;no;yes;yes;yes;yes;yes
Untamed Crowned Eagle Slot;Microgaming;Видео-слоты;243;5;1;15;7500;96%;yes;no;yes;yes;yes;yes;yes
Fisticuffs Slot;NetEnt;Видео-слоты;10;5;1;10;500;96.7%;yes;no;yes;no;yes;no;no
Spinata Grande Slot;NetEnt;Видео-слоты;40;5;1;10;300;96.84%;yes;no;yes;yes;yes;no;yes
Girls with Guns Jungle Heat Slot;Microgaming;Видео-слоты;243;5;1;20;8000;96.55%;no;no;yes;yes;yes;yes;yes
Mad Hatters Slot;Microgaming;Видео-слоты;30;5;1;10;2000;96.08%;yes;no;yes;yes;yes;yes;yes
Alaskan Fishing Slot;Microgaming;Видео-слоты;243;5;1;10;500;96.63%;yes;no;yes;yes;yes;yes;yes
Kathmandu Slot;Microgaming;Видео-слоты;9;5;1;20;600;96.29%;no;no;yes;yes;yes;yes;yes
Cool Wolf Slot;Microgaming;Видео-слоты;243;5;1;10;500;Неизвестно;no;no;yes;yes;yes;yes;yes
Hall of Gods Slot;NetEnt;Прогрессивные слоты;20;5;1;5;Прогрессивный;95.5%;yes;yes;yes;yes;yes;yes;yes
Scarface Slot;NetEnt;Видео-слоты;20;5;1;10;2000;96.8%;yes;no;yes;yes;yes;yes;yes
Beach Slot;NetEnt;Видео-слоты;20;5;1;10;2000;96.8%;yes;no;yes;yes;yes;yes;yes
Neon Staxx Slot;NetEnt;Видео-слоты;40;5;1;10;0;Неизвестно;no;no;yes;yes;yes;no;yes
Guns N' Roses Slot;NetEnt;Видео-слоты;20;5;1;1;750;96.98%;yes;no;yes;yes;yes;yes;yes
Football Star Slot;Microgaming;Видео-слоты;243;5;1;10;500;Неизвестно;no;no;yes;yes;yes;yes;yes
Dolphin Quest Slot;Microgaming;Видео-слоты;50;5;1;5;2000;96.12%;no;no;yes;yes;yes;yes;no
Disco Spins Slot;NetEnt;Видео-слоты;20;5;1;10;1000;96.4%;yes;no;yes;yes;yes;yes;yes
Thief Slot;NetEnt;Видео-слоты;25;5;1;10;5000;96.7%;no;no;yes;yes;yes;no;yes
Alien Robots Slot;NetEnt;Видео-слоты;243;5;1;5;10000;96.3%;no;no;yes;yes;yes;no;yes
Steam Tower Slot;NetEnt;Видео-слоты;15;5;1;10;2000;97%;no;no;yes;yes;yes;yes;yes
Cosmic Fortune Slot;NetEnt;Прогрессивные слоты;15;5;1;10;Прогрессивный;96.9%;yes;yes;yes;yes;yes;no;yes
Silent Run Slot;NetEnt;Видео-слоты;25;5;1;10;1000;96.1%;yes;no;yes;no;yes;yes;no
Medusa II Slot;NextGen Gaming;Видео-слоты;243;5;1;1;500;97.07%;no;no;yes;yes;yes;yes;yes
Elements The Awakening Slot;NetEnt;Видео-слоты;20;5;1;10;1500;96%;yes;no;yes;no;yes;no;yes
Halloween Fortune Slot;Playtech;Видео-слоты;20;5;1;1;10000;97%;no;no;yes;yes;yes;yes;yes
Rocky Slot;Playtech;Видео-слоты;25;5;1;10;10000;95%;yes;no;yes;yes;yes;yes;yes
Stickers Slot;NetEnt;Видео-слоты;20;5;1;10;400;96.69%;no;no;yes;yes;yes;no;no
Deck The Halls Slot;Microgaming;Видео-слоты;30;5;1;10;1000;95.38%;no;no;yes;yes;yes;yes;yes
Red Hot Devil Slot;Microgaming;Видео-слоты;25;5;0;0;0;Неизвестно;yes;no;yes;yes;yes;yes;yes
Boom Brothers Slot;NetEnt;Видео-слоты;20;5;1;5;7500;96.4%;yes;no;yes;yes;yes;yes;yes
Excalibur Slot;NetEnt;Видео-слоты;20;5;1;4;10000;95.1%;yes;no;yes;yes;yes;yes;yes
Untamed Giant Panda Slot;Microgaming;Видео-слоты;243;5;1;15;150;96.32%;no;no;yes;yes;yes;yes;yes
Agent Jane Blonde Slot;Microgaming;Видео-слоты;9;5;1;5;750;96.1%;no;no;yes;yes;yes;yes;yes
Hot Ink Slot;Microgaming;Видео-слоты;1024;5;1;10;1000;97.5%;no;no;yes;yes;yes;yes;yes
Crime Scene Slot;NetEnt;Видео-слоты;243;5;1;10;750;96.7%;yes;no;yes;yes;yes;yes;no
Asian Beauty Slot;Microgaming;Видео-слоты;243;5;1;10;200;96.5%;yes;no;yes;yes;yes;yes;yes
Untamed Wolf Pack Slot;Microgaming;Видео-слоты;243;5;1;15;150;96.17%;no;no;yes;yes;yes;yes;yes
Jimi Hendrix Slot;NetEnt;Видео-слоты;20;5;1;10;400;96.9%;no;no;yes;yes;yes;no;yes
Age Of Discovery Slot;Microgaming;Видео-слоты;25;5;1;10;1000;96.62%;no;no;yes;yes;yes;yes;yes
Frankenstein Slot;NetEnt;Видео-слоты;20;5;1;10;1500;96.7%;yes;no;yes;yes;yes;yes;yes
Hook's Heroes;NetEnt;Видео-слоты;20;5;1;10;900;96.82%;yes;no;yes;yes;yes;yes;yes
Girls With Guns Frozen Dawn Slot;Microgaming;Видео-слоты;243;5;1;15;9000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Fish Party Slot;Microgaming;Видео-слоты;243;5;1;10;30;Неизвестно;yes;no;yes;yes;yes;yes;yes
Max Damage Slot;Microgaming;Видео-слоты;243;5;1;10;15;Неизвестно;no;no;yes;yes;yes;yes;yes
Thunderstruck Slot;Microgaming;Видео-слоты;9;5;1;5;750;96.1%;no;no;yes;yes;yes;yes;yes
Doctor Love Slot;Microgaming;Видео-слоты;20;5;1;1;1500;95%;no;no;yes;yes;yes;yes;yes
Dragon Island Slot;NetEnt;Видео-слоты;15;5;1;10;2500;96.7%;yes;no;yes;yes;yes;yes;yes
300 Shields Slot;NextGen Gaming;Видео-слоты;25;5;1;1;250;95.30%;yes;no;yes;yes;yes;yes;yes
Reel Steal Slot;NetEnt;Видео-слоты;9;5;1;10;1500;95.9%;no;no;yes;yes;yes;yes;yes
Count Spectacular Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;yes;yes;yes;yes;yes;yes;yes
Barber Shop Slot;Thunderkick;Видео-слоты;25;5;1;1;400;97%;no;no;no;yes;yes;yes;yes
So Many Monsters Slot;Microgaming;Видео-слоты;25;5;1;20;140;Неизвестно;no;no;yes;yes;yes;no;yes
Lucky Koi Slot;Microgaming;Видео-слоты;25;5;1;10;5000;97%;yes;no;yes;yes;yes;yes;yes
Adventure Palace Slot;Microgaming;Видео-слоты;9;5;1;5;750;96.1%;no;no;yes;yes;yes;yes;yes
Loaded Slot;Microgaming;Видео-слоты;25;5;1;20;800;96.29%;no;no;yes;yes;yes;yes;yes
Santa's Уайлд Ride Slot;Microgaming;Видео-слоты;243;5;1;5;200;96.47%;no;no;yes;yes;yes;yes;yes
Great Griffin Slot;Microgaming;Видео-слоты;50;5;1;10;200;96.79%;no;no;yes;yes;yes;yes;yes
Уайлд Witches Slot;NetEnt;Видео-слоты;20;5;1;4;10000;96.1%;no;no;yes;yes;yes;yes;yes
Fruit Case Slot;NetEnt;Видео-слоты;20;5;1;10;2000;96.4%;no;no;yes;yes;yes;yes;yes
Secret Santa Slot;Microgaming;Видео-слоты;1024;5;1;10;1250;96.32%;no;no;yes;yes;yes;yes;yes
Tomb Raider Slot;Microgaming;Видео-слоты;15;5;1;5;500;96.5%;no;no;yes;yes;yes;yes;yes
Aladdin's Wishes Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Subtopia Slot;NetEnt;Видео-слоты;20;5;1;10;Прогрессивный;96.1%;no;yes;yes;yes;yes;yes;yes
Fruit Warp Slot;Thunderkick;Видео-слоты;0;0;1;1;216;97%;no;no;no;no;yes;yes;yes
Untamed Bengal Tiger Slot;Microgaming;Видео-слоты;243;5;1;15;90000;96.3%;no;no;yes;yes;yes;yes;yes
Golden Era Slot;Microgaming;Видео-слоты;15;5;1;20;50;Неизвестно;yes;no;yes;yes;yes;yes;yes
Eagle's Wings Slot;Microgaming;Видео-слоты;25;5;1;5;500;96.5%;yes;no;yes;yes;yes;yes;yes
Tomb Raider Secret Of the Sword Slot;Microgaming;Видео-слоты;30;5;1;10;2000;95.2%;yes;no;yes;yes;yes;yes;yes
Dazzle Me Slot;NetEnt;Видео-слоты;76;5;1;10;200;96.9%;no;no;yes;yes;yes;no;yes
Robin Hood Shifting Riches Slot;NetEnt;Видео-слоты;20;5;1;10;1000;96.8%;yes;no;yes;yes;yes;yes;yes
When Pigs Fly;NetEnt;Видео-слоты;3125;5;1;10;1000;Неизвестно;yes;no;yes;Неизвестно;yes;yes;yes
Koi Princess Slot;NetEnt;Видео-слоты;20;5;1;10;500;Неизвестно;yes;no;yes;yes;yes;yes;yes
Lucky Angler Slot;NetEnt;Видео-слоты;15;5;1;10;2000;96.4%;yes;no;yes;yes;yes;no;yes
Pyramid: Quest for Immortality Slot;NetEnt;Видео-слоты;720;5;1;10;50;96.48%;no;no;yes;yes;yes;yes;yes
Cashapillar Slot;Microgaming;Видео-слоты;100;5;1;10;1000;95.13%;no;no;yes;yes;yes;yes;yes
Mega Fortune Dreams Slot;NetEnt;Прогрессивные слоты;20;5;1;4;Прогрессивный;96.4%;yes;yes;yes;yes;yes;yes;yes
Sweet Harvest Slot;Microgaming;Видео-слоты;20;5;1;5;5000;96.29%;no;no;yes;yes;yes;yes;yes
Octopays Slot;Microgaming;Видео-слоты;243;5;1;1;8000;96.23%;no;no;yes;yes;yes;yes;yes
Karate Pig Slot;Microgaming;Видео-слоты;40;5;1;5;2000;96.5%;yes;no;yes;yes;yes;yes;yes
Lucky Witch Slot;Microgaming;Видео-слоты;15;5;1;20;10000;96.5%;yes;no;yes;yes;yes;yes;yes
Bust the Bank Slot;Microgaming;Видео-слоты;243;5;1;10;1500;96.5%;no;no;yes;yes;yes;yes;yes
Simsalabim Slot;NetEnt;Видео-слоты;25;5;1;10;7500;97.5%;yes;no;yes;yes;yes;yes;yes
Throne of Egypt Slot;Microgaming;Видео-слоты;25;5;1;5;5000;96.41%;yes;no;yes;yes;yes;yes;yes
Muse Уайлд Inspiration Slot;NetEnt;Видео-слоты;25;5;1;10;500;97%;yes;no;yes;yes;yes;yes;yes
Esqueleto Explosivo Slot;Thunderkick;Видео-слоты;17;5;1;1;Неизвестно;97.6%;no;no;yes;no;yes;yes;no
Book of Ra;нетvomatic;Видео-слоты;9;5;1;1;25000;96%;no;no;yes;yes;yes;no;yes
Pimped Slot;Play\'n GO;Видео-слоты;10;5;1;5;1000;96.51%;no;no;yes;yes;yes;no;yes
Mad Mad Monkey Slot;NextGen Gaming;Видео-слоты;50;5;1;1;1000;95.411%;no;no;yes;yes;yes;yes;yes
Ramesses Riches Slot;NextGen Gaming;Видео-слоты;20;5;1;1;1000;95.5%;no;no;yes;yes;yes;yes;yes
Cleopatra's Gold Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Crocodopolis Slot;Microgaming;Видео-слоты;25;5;1;1;5000;95.36%;no;no;yes;yes;yes;yes;yes
So Much Candy Slot;Microgaming;Видео-слоты;25;5;1;20;140;Неизвестно;no;no;yes;yes;yes;no;yes
Mermaids Millions Slot;Microgaming;Видео-слоты;15;5;1;5;500;96.56%;yes;no;yes;yes;yes;yes;yes
Rabbit in the Hat Slot;Microgaming;Видео-слоты;9;5;1;1;90000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Уайлд Уайлд West: The Great Train Heist;NetEnt;Видео-слоты;10;5;1;10;500;96.7%;no;no;yes;yes;yes;yes;yes
Drive: Multiplier Mayhem Slot;NetEnt;Видео-слоты;15;5;1;10;150;96.7%;no;no;yes;yes;yes;yes;yes
Cricket Star Slot;Microgaming;Видео-слоты;243;5;1;10;125;Неизвестно;no;no;yes;yes;yes;yes;yes
Burning Desire Slot;Microgaming;Видео-слоты;243;5;1;10;3000;96.19%;no;no;yes;yes;yes;yes;yes
Golden Shamrock Slot;NetEnt;Видео-слоты;20;5;1;10;4000;96.4%;no;no;yes;yes;yes;yes;yes
Riviera Riches Slot;Microgaming;Видео-слоты;15;5;1;20;1500;96%;yes;no;yes;yes;yes;yes;yes
MegaSpin Break Da Bank Again Slot;Microgaming;Видео-слоты;9;5;1;10;1500;95.43%;no;no;yes;yes;yes;yes;yes
Ariana Slot;Microgaming;Видео-слоты;25;5;0;0;0;Неизвестно;yes;no;yes;yes;yes;no;yes
Centre Court Slot;Microgaming;Видео-слоты;9;5;1;10;800;95.51%;no;no;yes;yes;yes;yes;yes
Pure Platinum Slot;Microgaming;Видео-слоты;40;5;1;10;750;96.49%;no;no;yes;yes;yes;yes;yes
Rhyming Reels Georgie Porgie Slot;Microgaming;Видео-слоты;15;5;1;10;15000;95%;no;no;yes;yes;yes;yes;yes
Devil's Delight Slot;NetEnt;Видео-слоты;20;5;1;10;5000;97.6%;yes;no;yes;yes;yes;yes;yes
Diamond Dogs Slot;NetEnt;Видео-слоты;25;5;1;4;10000;96.5%;yes;no;yes;yes;yes;yes;yes
Tornado: Farm Escape Slot;NetEnt;Видео-слоты;20;5;1;10;7000;96.5%;no;no;yes;yes;yes;no;no
Gemix Slot;Play\'n GO;Видео-слоты;1;7;1;1;500;96.75%;yes;no;yes;yes;yes;no;no
Fortune Hill;Playtech;Видео-слоты;25;5;1;1;5000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Demolition Squad Slot;NetEnt;Видео-слоты;40;5;1;10;4000;97.1%;no;no;yes;yes;yes;yes;yes
Energoonz Slot;Play\'n GO;Видео-слоты;0;5;1;1;100;97%;no;no;yes;yes;yes;no;yes
Triple Twister Slot;Real Time Gaming;Прогрессивные слоты;50;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
T-Rex Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;no;yes
Medusa Slot;NextGen Gaming;Видео-слоты;25;5;1;1;5000;95.425%;yes;no;yes;yes;no;yes;yes
Lucky Leprechaun Slot;Microgaming;Видео-слоты;20;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Kings of Cash Slot;Microgaming;Видео-слоты;15;5;1;20;300;96.60%;yes;no;yes;yes;yes;yes;no
King Of Slots;NetEnt;Видео-слоты;26;5;1;10;0;Неизвестно;no;no;yes;yes;yes;yes;yes
GLOW Slot;NetEnt;Видео-слоты;15;5;1;1;2000;96.7%;no;no;yes;no;yes;yes;yes
Aloha! Cluster Pays Slot;NetEnt;Видео-слоты;0;5;1;1;10000;96.42%;no;no;yes;yes;yes;no;yes
Fantasini: Master of Mystery Slot;NetEnt;Видео-слоты;243;5;1;10;1000;Неизвестно;no;no;yes;no;yes;no;no
Silver Fang Slot;Microgaming;Видео-слоты;50;5;1;10;750;96.16%;no;no;yes;yes;yes;yes;yes
Racing For Pinks Slot;Microgaming;Видео-слоты;243;5;1;15;1500;96.42%;yes;no;yes;yes;yes;yes;yes
Gung Pow Slot;Microgaming;Видео-слоты;243;5;1;10;30000;Неизвестно;no;no;yes;yes;yes;no;yes
So Much Sushi Slot;Microgaming;Видео-слоты;25;5;1;20;140;Неизвестно;no;no;yes;yes;yes;no;yes
Sterling Silver;Microgaming;Видео-слоты;25;5;1;10;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
The Twisted Circus Slot;Microgaming;Видео-слоты;243;5;1;20;250;96.36%;yes;no;yes;yes;yes;yes;yes
Dr Watts Up;Microgaming;Видео-слоты;243;5;1;20;480000;97%;yes;no;yes;yes;yes;yes;yes
Arctic Fortune Slot;Microgaming;Видео-слоты;1024;5;1;10;1500;96.58%;no;no;yes;yes;yes;yes;yes
Shoot! Slot;Microgaming;Видео-слоты;50;5;1;20;50000;96.5%;yes;no;yes;yes;yes;yes;yes
Big Break Slot;Microgaming;Видео-слоты;15;5;1;10;1000;95.23%;no;no;yes;yes;yes;yes;yes
Stash of the Titans Slot;Microgaming;Видео-слоты;20;5;1;10;500;95.07%;no;no;yes;yes;yes;yes;yes
Spring Break Slot;Microgaming;Видео-слоты;9;5;1;5;750;96.1%;no;no;yes;yes;yes;yes;yes
Big Bad Wolf Slot;Quickspin;Видео-слоты;25;5;1;1;1000;97.35%;no;no;yes;yes;yes;yes;yes
Bridesmaids Slot;Microgaming;Видео-слоты;40;5;1;15;40;Неизвестно;yes;no;yes;yes;yes;yes;yes
Vulcan Slot;Real Time Gaming;Видео-слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Sherlock Mystery;Playtech;Видео-слоты;20;5;1;1;10000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Shark School;Real Time Gaming;Видео-слоты;50;5;1;1;1500;95%;yes;no;yes;yes;yes;no;yes
Basketbull;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;yes;yes;yes;yes;yes;yes;yes
Book of Ra Deluxe Slot;нетvomatic;Видео-слоты;10;5;1;1;50000;95.5%;no;no;yes;yes;yes;no;yes
Spin Party;Play\'n GO;Видео-слоты;10;5;1;5;1500;96%;no;no;yes;yes;yes;yes;yes
Tennis Stars;Playtech;Видео-слоты;40;5;1;10;5000;95.6%;yes;no;yes;yes;yes;yes;yes
Santa Surprise Slot;Playtech;Видео-слоты;20;5;1;10;10000;97%;yes;no;yes;yes;yes;yes;yes
Coyote Cash Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Dolphin Reef Slot;Playtech;Видео-слоты;20;5;1;1;5000;96%;no;no;yes;yes;yes;no;yes
Pay Dirt Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Pearls Of India Slot;Play\'n GO;Видео-слоты;20;5;1;5;1000;96.87%;yes;no;yes;yes;yes;yes;yes
Gladiator Slot;Betsoft;Видео-слоты;30;5;1;5;2000;94%;yes;no;yes;yes;no;yes;no
Tower Quest Slot;Play\'n GO;Видео-слоты;20;5;1;5;250;96.24%;yes;no;yes;yes;yes;yes;yes
Retro Reels Extreme Heat;Microgaming;Видео-слоты;30;5;1;15;500;97.5%;no;no;yes;yes;yes;yes;yes
Lucky Twins Slot;Microgaming;Видео-слоты;9;5;1;1;1250;Неизвестно;no;no;yes;yes;yes;no;no
Moonshine Slot;Microgaming;Видео-слоты;25;5;1;5;500;95.96%;no;no;yes;yes;yes;yes;yes
Mega Moolah Slot;Microgaming;Прогрессивные слоты;25;5;1;5;750;94%;no;yes;yes;yes;yes;yes;yes
Secrets of Atlantis Slot;NetEnt;Видео-слоты;40;5;1;10;400;97.1%;no;no;yes;yes;yes;no;yes
Hot as Hades Slot;Microgaming;Видео-слоты;20;5;1;5;800;Неизвестно;yes;no;yes;yes;yes;yes;yes
Motorhead Slot;NetEnt;Видео-слоты;76;5;1;10;150;96.98%;no;no;yes;yes;yes;no;yes
Scrooge Slot;Microgaming;Видео-слоты;50;5;1;10;600;96.74%;yes;no;yes;yes;yes;yes;yes
Football: Champions Cup;NetEnt;Видео-слоты;20;5;1;10;1000;96.82%;yes;no;yes;yes;yes;no;yes
NRVNA Slot;NetEnt;Видео-слоты;30;5;1;10;2000;96.60%;no;no;yes;yes;yes;yes;yes
Starlight Kiss Slot;Microgaming;Видео-слоты;30;5;1;20;14000;96.52%;yes;no;yes;yes;yes;yes;yes
Trolls Slot;NetEnt;Видео-слоты;20;5;1;4;10000;95.1%;no;no;yes;yes;yes;yes;yes
Pacific Attack Slot;NetEnt;Видео-слоты;15;5;1;20;5000;95.5%;yes;no;yes;yes;yes;yes;yes
Rugby Star Slot;Microgaming;Видео-слоты;243;5;1;1;0;Неизвестно;no;no;yes;yes;yes;yes;yes
Secret Admirer;Microgaming;Видео-слоты;9;5;1;10;2500;96.08%;no;no;yes;yes;yes;yes;yes
Fat Lady Sings Slot;Microgaming;Видео-слоты;25;5;1;5;1000;96.54%;yes;no;yes;yes;yes;yes;yes
High Society Slot;Microgaming;Видео-слоты;25;5;1;20;30;97%;no;no;yes;yes;yes;yes;yes
Summertime Slot;Microgaming;Видео-слоты;9;5;1;5;750;95.05%;no;no;yes;yes;yes;yes;yes
Spellcast Slot;NetEnt;Видео-слоты;20;5;1;4;10000;96%;no;no;yes;yes;yes;yes;yes
The Funky 70's Slot;NetEnt;Видео-слоты;40;5;1;5;1000;96.5%;no;no;yes;yes;yes;yes;yes
Battlestar Galactica Slot;Microgaming;Видео-слоты;243;5;1;10;1400000;96.62%;yes;no;yes;yes;yes;yes;yes
